"id","nazwa","rozmiar","index_predkosci","index_nosnosci","cena","dostepnosc"
"558","BRAVURIS 2","235","Y XL ZR FR","100","760.00","tak"
"559","BRAVURIS 2","238","Y XL FR","103","650.00","tak"
"560","BRAVURIS 4X4","245","V XL FR","109","495.00","tak"
"561","BRAVURIS 4X4","249","H","109","380.00","tak"
"562","BRAVURIS 2","257","W FR","93","630.00","tak"
"563","BRAVURIS 4X4","269","H","112","447.00","tak"
"564","BRAVURIS 4X4","270","H","112","470.00","tak"
"565","CARAT EXELERO MFS","216","Y","100","1126.00","tak"
"566","TOURING","78","T","80","189.00","tak"
"567","G-GRIP","79","T","82","166.00","nie"
"568","G-GRIP","79","T XL","86","226.00","nie"
"569","G-GRIP","79","H","82","353.00","tak"
"570","G-GRIP","80","T","84","200.00","tak"
"571","TOURING","81","T","82","200.00","tak"
"572","PROFILER2","82","T","84","196.00","tak"
"573","PROFILER2","84","H","80","262.00","tak"
"574","G-GRIP","85","H","82","261.00","nie"
"575","G-GRIP","85","V","82","280.00","nie"
"576","G-GRIP","86","H","82","179.00","tak"
"577","G-GRIP","86","T","82","215.00","tak"
"578","G-GRIP","87","H","84","308.00","tak"
"579","G-GRIP","87","H XL","88","312.00","tak"
"580","G-GRIP","89","T","86","174.00","tak"
"581","G-GRIP","89","H","86","339.00","tak"
"582","G-GRIP","90","T","88","209.00","tak"
"583","G-GRIP","90","H","88","282.00","tak"
"584","G-GRIP","92","T","88","208.00","tak"
"585","G-GRIP","92","H","88","360.00","tak"
"586","G-FORCE PROFILER","321","V","78","270.00","tak"
"587","G-FORCE PROFILER","94","V XL","84","312.00","tak"
"588","G-GRIP","95","V","82","235.00","tak"
"589","G-GRIP","95","H","82","257.00","tak"
"590","G-GRIP","97","V","85","287.00","tak"
"591","G-GRIP","97","H","85","410.00","nie"
"592","G-GRIP","98","H","87","493.00","tak"
"593","G-GRIP","98","V","87","506.00","nie"
"594","G-GRIP","100","H","88","326.00","tak"
"595","CARAT EXELERO MFS","216","Y","100","1126.00","tak"
"596","G-GRIP","100","V","88","275.00","nie"
"597","G-GRIP","104","T","95","241.00","tak"
"598","G-GRIP","104","T","91","265.00","tak"
"599","G-GRIP","104","H","91","272.00","tak"
"600","G-GRIP","104","V","91","299.00","nie"
"601","G-FORCE PROFILER","110","W XL","84","439.00","tak"
"602","G-FORCE PROFILER","112","W","83","360.00","tak"
